Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	9467	3228	1198	12695	34	57	2011	13.7217	413.092	0.859732	1666.32	2011	57	0	1256
2	6959	27949	21	34908	80	62	12	15.3295	2.04719	0.998516	5329.92	12	62	0	5313
3	2885457	1399	873	2886856	49	1	15	0.124638	2.62613	0.853064	10.2204	15	1	0	7
4	27503	156011	524	183514	13	1	82	0.124638	17.2093	0.998301	5693.19	82	1	0	5674
5	2845	72381	603	75226	15	3	249	0.366184	56.19	0.994722	5976.54	249	3	0	5917
6	107552	82948	387	190500	88	13	67	2.57778	14.8143	0.997197	3358.28	67	13	0	3341
7	1888162	13099	18	1901261	57	0	2	0	0.543255	0.994815	58.5172	2	0	0	58
8	976985	35953	204	1012938	25	1	13	0.162319	2.10708	0.99627	334.725	13	1	0	333
9	581285	9038	1753	590323	1661	107	114	23.8483	23.7949	0.840355	149.199	114	107	0	104
10	2215187	375451	44	2590638	1883	33	1	8.15556	0.421658	0.997147	1344.25	1	33	0	1335
11	217691	64923	760	282614	36	6	107	1.37198	23.9159	0.993062	2012.22	107	6	0	1986
12	954133	2267	2482	956400	420	20	105	4.90145	23.6207	0.660643	44.2099	105	20	0	20
13	26941	193009	144	219950	1509	180	11	42.7585	1.88385	0.996459	5626.37	11	180	0	5580
14	304127	5117	122	309244	34	3	18	0.647343	5.33575	0.978655	152.805	18	3	0	148
15	42877	126009	59	168886	81	13	11	2.543	3.45191	0.999419	5246.96	11	13	0	5241
16	216702	173524	18	390226	58	2	0	0.570048	0	0.999926	3400.87	0	2	0	3400
17	36386	1151	196	37537	569	538	196	117.089	43.5662	0.740488	297.025	196	538	0	141
18	1062	38447	16	39509	656	466	10	98.8976	2.54325	0.992094	5703.65	10	466	0	5605
19	13123	139304	319	152427	40	11	67	2.74589	14.7532	0.998412	5955.15	67	11	0	5938
20	1401	194247	2180	195648	66	7	278	1.63865	63.464	0.994097	6127.02	278	7	0	6057
21	3962672	106096	2906	4068768	192	2	32	0.391304	6.66243	0.984693	254.153	32	2	0	248
22	3128235	1605	14	3129840	172	2	0	0.530435	0	0.972085	8.41304	0	2	0	8
23	2807970	4445	84	2812415	12	0	1	0	0.0344828	0.998987	19.0172	1	0	0	19
24	3179133	2916	1155	3182049	26	0	15	0	3.36358	0.894262	17.5862	15	0	0	14
25	23211	2919	342	26130	91	120	474	27.2502	98.605	0.931331	973.474	474	120	0	847
26	2190	47363	578	49553	148	77	295	16.9923	61.8058	0.992697	5753.33	295	77	0	5676
27	1711613	71963	1557	1783576	1417	32	43	7.57488	9.66848	0.977847	394.621	43	32	0	377
28	14978	4347	24	19325	26	50	56	13.6976	12.4682	0.99317	1905.05	56	50	0	1880
29	1346535	213686	2882	1560221	99	1	70	0.347826	18.271	0.991676	1243.98	70	1	0	1226
30	1843925	8780	151	1852705	138	4	4	0.548792	0.514822	0.988559	46.3111	4	4	0	44
31	261102	291388	16	552490	12	0	0	0	0	1	3994	0	0	0	3994
