Sim	T_Pmume_brPLUSDIV	T_w4_Pmume	mPmumew4	mw4Pmume	Pmume	T_Pmume_br	w4	S_1	S_2	Pi_1	Pi_2	FST_2_1	PI_2_1	Sx1_1_0	Sx0_1_0	Ss_1_0	Sf_1_0
1	64240	71539	0.0017811	0.00475953	68	135779	415	128	36	25.7014	7.42529	0.272236	22.3156	8	100	28	0
2	2353907	7433	0.0353961	0.0209096	13	2361340	448	5	0	0.458937	0	0.0502122	0.23913	0	5	0	0
3	71916	1632	0.0363717	0.00819887	201	73548	64	51	109	12.2589	17.3896	0.122347	16.9445	70	12	39	0
4	1499299	15654	0.0382297	0.0459261	2682	1514953	570	63	67	15.4164	13.7532	0.0146794	14.7969	17	13	50	0
5	21583	10331	0.00262818	0.0110044	2138	31914	35	423	1394	111.557	261.822	0.230978	245.758	1005	34	389	0
6	31496	17954	0.00865947	0.0311833	147	49450	27	99	164	26.0937	36.3327	0.205051	39.443	86	21	78	0
7	1471769	1066	0.0338278	0.0363622	96	1472835	135	5	4	0.887923	0.23654	0.132724	0.64093	1	2	3	0
8	3253	7118	0.0355873	0.0082004	11	10371	919	1396	441	255.334	105.832	0.24742	236.721	39	994	402	0
9	18788	1975	0.0424254	0.0323551	943	20763	64	256	515	59.7411	75.7042	0.0494864	71.3336	308	49	207	0
10	8290	1161	0.0256983	0.0205978	746	9451	24	204	801	46.0348	90.5227	0.121739	78.2069	644	47	157	0
11	995316	270615	0.0323143	0.0490339	534	1265931	305	22	21	5.18647	4.36237	0.0087136	4.81409	5	6	16	0
12	4937	3179	0.018355	0.0281713	92	8116	656	1104	723	203.096	172.596	0.0541755	198.433	158	539	565	0
13	22285	105098	0.0297082	0.00587459	81	127383	412	172	129	36.7353	30.493	0.0856329	36.7136	26	69	103	0
14	3970229	8101	0.0430918	0.0320304	25	3978330	871	6	3	1.18261	0.369026	0.15234	0.904798	1	4	2	0
15	23103	22898	0.0409219	0.00962556	196	46001	1448	1117	1018	248.281	239.05	0.0291035	250.933	164	263	854	0
16	9906	64413	0.0321615	0.00565651	38	74319	441	241	145	55.3063	40.2886	0.131789	54.8846	14	110	131	0
17	38385	11250	0.0360851	0.0297127	78	49635	85	105	101	23.2821	24.5989	0.0925405	26.3928	25	29	76	0
18	20591	1049	0.0123858	0.010395	10	21640	10	41	40	8.75942	9.78705	0.67659	28.8021	25	26	15	4
19	826808	102179	0.0102801	0.0160727	20	928987	1545	15	7	2.13333	2.05384	0.180651	2.55397	1	9	6	0
20	16640	2389	0.0128996	0.0266578	27	19029	12	63	89	16.487	20.4453	0.447419	33.6154	47	21	42	0
21	13462	142480	0.0232223	0.0386423	343	155942	10	21	61	5.26184	12.291	0.18674	10.9025	41	1	20	0
22	12563	9175	0.0250664	0.0193132	246	21738	74	323	488	83.2338	97.7235	0.0752527	97.9438	231	66	257	0
23	4773563	4133	0.00655335	0.0270191	2878	4777696	48	5	9	1.31981	2.27163	0.194282	2.24438	4	0	5	0
